Date;Nb;Indiv;Species;Essai;Zone_Achilles;Touche_Achilles;Zone_Helenor;Touche_Helenor;App_conspe;App_non_conspe;Side;Biais
05/09/2023;56;188;helenor;2;1;0;1;0;1;1;OK;non
06/09/2023;56;188;helenor;3;1;0;1;0;1;1;OK;non
04/09/2023;57;183;helenor;1;2;0;3;0;3;2;OK;non
05/09/2023;57;183;helenor;2;0;0;0;0;0;0;NA;NA
06/09/2023;57;183;helenor;3;1;0;1;0;1;1;OK;non
08/09/2023;58;192;achilles;1;6;0;4;0;6;4;OK;non
09/09/2023;58;192;achilles;2;4;0;2;0;4;2;OK;non
10/09/2023;58;192;achilles;3;0;0;0;0;0;0;NA;NA
08/09/2023;59;194;achilles;1;3;0;2;0;3;2;OK;non
09/09/2023;59;194;achilles;2;2;0;0;0;2;0;OK;non
10/09/2023;59;194;achilles;3;0;0;0;0;0;0;NA;NA
11/09/2023;60;199;achilles;1;0;0;0;0;0;0;NA;NA
12/09/2023;60;199;achilles;2;2;0;1;0;2;1;OK;non
13/09/2023;60;199;achilles;3;2;0;2;0;2;2;OK;non
11/02/2023;61;198;achilles;1;2;0;0;0;2;0;OK;non
12/09/2023;61;198;achilles;2;16;1;16;0;16;16;OK;non
13/09/2023;61;198;achilles;3;17;2;8;0;17;8;Gauche;oui
11/02/2023;62;197;helenor;1;0;0;0;0;0;0;NA;NA
12/09/2023;62;197;helenor;2;1;0;0;0;0;1;OK;non
14/09/2023;63;204;achilles;1;3;0;1;0;3;1;Gauche;oui
15/09/2023;63;204;achilles;2;0;0;0;0;0;0;NA;NA
14/09/2023;64;205;helenor;1;0;0;0;0;0;0;NA;NA
15/09/2023;64;205;helenor;2;0;0;0;0;0;0;NA;NA
16/09/2023;64;205;helenor;3;0;0;0;0;0;0;NA;NA
14/09/2023;65;206;achilles;1;1;0;3;0;1;3;Gauche;oui
14/09/2023;65;203;helenor;1;4;0;3;0;3;4;OK;non
