Date;Nb;Indiv;Species;Paire;Essai;Heure;Zone_T;Zone_B;Touche_T;Touche_B;Coucou;Dummy_T;Dummy_B;Dummy_BB;Paires;App_conspe;App_non_conspe;Touch_conspe;Touch_non_conspe
28/02/2023;22;262;bristowi;1;2;10:27;3;6;0;2;NA;2;1;2;1;6;3;2;0
01/03/2023;22;262;bristowi;1;3;08:58;0;0;0;0;NA;2;1;2;1;0;0;0;0
11/03/2023;37;350;bristowi;1;1;10:33;0;0;0;0;NA;2;1;2;1;0;0;0;0
12/03/2023;37;350;bristowi;1;2;09:17;0;0;0;0;NA;2;1;2;1;0;0;0;0
13/03/2023;37;350;bristowi;1;3;11:41;0;0;0;0;NA;2;1;2;1;0;0;0;0
11/03/2023;38;351;bristowi;1;1;10:46;0;0;0;0;NA;2;1;2;1;0;0;0;0
12/03/2023;38;351;bristowi;1;2;09:52;6;11;0;0;NA;2;1;2;1;11;6;0;0
13/03/2023;38;351;bristowi;1;3;10:55;1;4;0;0;NA;2;1;2;1;4;1;0;0
11/03/2023;39;362;bristowi;1;1;10:57;17;20;3;7;NA;2;1;2;1;20;17;7;3
12/03/2023;39;362;bristowi;1;2;09:41;6;11;1;4;NA;2;1;2;1;11;6;4;1
13/03/2023;39;362;bristowi;1;3;11:30;1;8;0;7;NA;2;1;2;1;8;1;7;0
11/03/2023;40;352;bristowi;1;1;11:09;11;11;0;0;NA;2;1;2;1;11;11;0;0
12/03/2023;40;352;bristowi;1;2;10:15;1;2;0;1;NA;2;1;2;1;2;1;1;0
13/03/2023;40;352;bristowi;1;3;11:07;11;19;0;3;NA;2;1;2;1;19;11;3;0
11/03/2023;41;360;bristowi;1;1;11:21;2;2;1;0;NA;2;1;2;1;2;2;0;1
12/03/2023;41;360;bristowi;1;2;09:05;0;0;0;0;NA;2;1;2;1;0;0;0;0
13/03/2023;41;360;bristowi;1;3;10:30;5;15;1;8;NA;2;1;2;1;15;5;8;1
11/03/2023;42;334;bristowi;1;1;11:32;3;1;0;0;NA;2;1;2;1;1;3;0;0
12/03/2023;42;334;bristowi;1;2;09:29;1;4;0;0;NA;2;1;2;1;4;1;0;0
13/03/2023;42;334;bristowi;1;3;11:28;1;2;0;0;NA;2;1;2;1;2;1;0;0
11/03/2023;43;361;bristowi;1;1;11:44;1;1;0;0;NA;2;1;2;1;1;1;0;0
12/03/2023;43;361;bristowi;1;2;10:03;4;8;1;3;NA;2;1;2;1;8;4;3;1
