row ID;row m/z;row retention time;HF_G_82;HF_G_182;HF_G_174;HF_G_201;HF_G_100;HF_G_X2;HF_G_184;HF_G_196;HF_G_170;HF_G_195;AF_G_191;AF_G_X5;AF_G_193;AF_G_X1;AF_G_187;AF_G_X2;AF_G_X6;AF_G_120;AF_G_X4;AF_G_070;AF_G_X3;AF_G_178;AM_G_180;AM_G_175;AM_G_194;AM_G_189;AM_G_165;AM_G_167;AM_G_192;AM_G_155;AM_G_163;AM_G_181;AM_G_164;HM_G_150;HM_G_112;HM_G_162;HM_G_119;HM_G_103;HM_G_158;HM_G_172;HM_G_159;HM_G_169;HM_G_005;3;5;1;2;4
14;44,01144177;13,45472311;2646227,691;1628218,234;1700165,782;1402248,685;2093605,309;2886867,956;2549687,509;2603837,866;1126841,956;2657884,372;185997,9279;352139,2349;2520053,47;856246,7054;662283,5007;2935799,352;176587,7777;1918602,167;579382,6362;586494,2808;1261057,949;966879,4374;1883592,439;465124,3307;1723841,671;3040650,603;3415775,505;3805328,144;5422653,823;3555507,25;2160914,296;3271312,976;3561023,056;1019388,533;3851031,046;2454612,791;2266734,374;3012553,5;2881544,989;3441282,695;2538674,024;1100080,539;4196329,797;75162,12014;197054,5346;56417,17213;47373,89537;599408,2081
15;44,0112401;18,45862053;5873914,884;2182887,425;1744317,799;1348229,713;1878345,595;2,92E+07;3667985,969;2672113,871;3840063,854;2337379,005;1468807,762;1007234,391;2852412,39;6278514,425;4130694,344;3653669,383;2159955,948;3822451,026;2144440,717;1,77E+07;1,60E+07;1252417,784;3587757,142;1960159,407;2080059,379;4185397,438;3456593,765;5625559,875;3901492,949;2788375,457;3902170,284;2427739,895;4863665,342;1891703,851;4934483,18;2784969,491;2622957,794;4161914,198;2602344,459;4114728,469;4478457,016;53237,92332;4581502,22;83747,57565;762209,2299;101145,944;68500,99471;22243,9116
16;44,0074229;23,72770505;4545495,129;6530683,341;5798133,196;7374941,178;6385387,502;1,73E+07;7912824,34;7127246,375;7044697,412;1,00E+07;2257075,58;5081613,867;5783025,057;7347990,103;1642617,857;3392158,933;5645128,868;3272643,211;9410697,18;2,15E+07;1,03E+07;268844,2528;2,16E+07;2,23E+07;2,09E+07;2,31E+07;2,00E+07;2,57E+07;2,29E+07;1,81E+07;2,72E+07;2,52E+07;1,65E+07;304483,2395;628861,1401;185618,6338;2008667,505;796525,3405;1382491,874;9888085,253;1762817,219;9511258,968;2,90E+07;14517,03699;53632,93402;5017,797876;11698,74274;13993,32386
17;44,01010808;23,74848604;7002357,955;4359522,393;4332197,067;6638260,726;5016687,376;1,39E+07;5308373,573;6528380,051;5260182,868;5990975,353;1858025,321;4366655,464;4529617,679;5399953,626;1278147,768;6157147,653;4240258,417;2837283,241;6567575,523;1,49E+07;6191263,877;1419474,328;2,07E+07;2,18E+07;1,97E+07;2,24E+07;1,85E+07;2,44E+07;2,13E+07;1,65E+07;2,39E+07;2,43E+07;1,59E+07;1,34E+07;1,45E+07;2,36E+07;1,55E+07;1,47E+07;2,84E+07;2,04E+07;1,96E+07;1,91E+07;2,36E+07;27618,14359;53591,67889;14290,11922;19450,06049;11511,59367
18;44,00873143;26,04616211;4491003,283;2597761,129;1957179,001;3531226,119;2931821,736;5516250,347;2460505,409;7427337,836;4626657,89;3687692,895;2476940,543;2692002,025;3198754,221;4257896,664;928310,2221;3030312,895;3365932,773;1713739,029;2895128,253;1,35E+07;6965456,259;1667131,278;2,59E+07;1,40E+07;1,92E+07;2,73E+07;1,79E+07;3,11E+07;2,20E+07;1,50E+07;3,16E+07;2,14E+07;1,82E+07;8838239,823;1,26E+07;1,79E+07;1,16E+07;1,28E+07;2,06E+07;2,80E+07;1,76E+07;2,12E+07;2,62E+07;11913,77766;17334,71145;13464,53061;11395,92362;15748,23505
19;55,07127045;28,62592664;2,54E+07;2,25E+07;2,24E+07;3,40E+07;2,06E+07;2,68E+07;2,56E+07;3,36E+07;1,97E+07;2,39E+07;8223456,492;2,02E+07;2,72E+07;2,67E+07;5543195,232;5,84E+07;1,99E+07;7150861,963;2,21E+07;7,61E+07;1,12E+07;1,23E+07;3,03E+07;2,68E+07;3,53E+07;3,47E+07;3,32E+07;5,29E+07;6,18E+07;2,75E+07;1,20E+08;3,81E+07;2,12E+07;1,41E+07;3,46E+07;1,18E+08;2,14E+07;2,51E+07;2,13E+08;3,74E+08;5,84E+07;3,81E+08;3,59E+08;0;0;0;0,00E+00;0,00E+00
20;207,0758058;30,66498553;1,18E+07;1580809,292;1603983,254;2,47E+07;9893464,139;2,11E+07;7950879,77;1,85E+07;2903972,772;1,34E+07;824266,1267;3879238,323;1,07E+07;1778800,181;4766813,032;1,38E+07;1,16E+07;7678384,258;1,65E+07;4,52E+07;1,14E+07;7564277,82;3870157,144;1,17E+07;2506012,73;1,07E+07;2,76E+07;1,20E+07;1,28E+07;1,38E+07;4,63E+07;2646248,708;752051,6999;0,00E+00;0,00E+00;0,00E+00;0,00E+00;91593,45053;1463040,897;6,34E+07;94680,24057;5,06E+07;5,84E+07;0;0;0;0;0,00E+00
28;57,08371041;18,5957206;3701420,85;1,46E+07;1,31E+07;1,08E+07;5309490,189;6128303,408;2,19E+07;1,57E+07;5051578,082;2,60E+07;7099677,494;8336966,116;1,34E+07;9989172,829;1,08E+07;4152310,365;1,03E+07;7968799,897;2,30E+07;2,60E+07;8084426,103;8629644,357;1,63E+07;1,98E+07;2,50E+07;7000237,274;2,76E+07;2,19E+07;1,56E+07;2,51E+07;6,01E+07;1,46E+07;1,29E+07;1,61E+07;1,59E+07;1,59E+07;2,46E+07;5852718,553;2,54E+07;1,52E+07;2,89E+07;2,84E+07;3,98E+07;1499,704564;11527,73842;663,7405074;1653,000085;709,3865262
29;44,01850543;20,36135515;0;6018117,435;5197016,502;5695617,513;4136242,65;4084679,938;6443268,74;4278188,301;4242178,276;5621001,481;3953861,64;4101679,22;4473221,929;4586013,961;4985214,891;2614130,171;5004509,936;3849483,286;6922787,792;5495680,767;5206134,803;4744104,87;4604471,371;4476160,052;6479021,156;4169716,629;6654264,303;5301644,418;0,00E+00;4273813,012;8420348,037;4069944,608;3723552,182;4761386,153;3512662,806;3985277,051;5435660,088;0;6361148,863;4468641,939;6224329,602;5028078,461;5553281,804;277265,7317;569,5262921;99945,36702;134204,0496;29458,85259
30;44,01428119;20,98634859;0;824839,9677;1,86E+07;3562070,77;1,18E+07;0;1,63E+07;1,77E+07;4079719,647;1,77E+07;1,13E+07;1,16E+07;1,43E+07;0,00E+00;1,30E+07;0,00E+00;1,44E+07;0,00E+00;1,72E+07;2,48E+07;1,31E+07;0,00E+00;0,00E+00;9833492,322;2,03E+07;0;1,71E+07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,09E+07;0,00E+00;1,15E+07;0,00E+00;1,68E+07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;94442,78948;0;6952,636521;47761,93083;11464,49613
