row ID;row m/z;row retention time;AF_G_X6_C8;AF_G_187_C8;AF_G_193_C8;AF_G_X5_C8;AF_G_191_C8;AF_G_070_C8;AF_G_X3_C8;AF_G_X4_C8;AF_G_178_C8;AM_G_155_C8;AM_G_194_C8;AM_G_175_C8;AM_G_165_C8;AM_G_180_C8;AM_G_189_C8;AM_G_163_C8;AM_G_167_C8;AM_G_181_C8;HM_G_150_C8;HM_G_169_C8;HM_G_162_C8;HM_G_112_C8;HM_G_X1_C8;HM_G_158_C8;HM_G_159_C8;HM_G_172_C8;HM_G_005_C8;HF_G_195_C8;HF_G_196_C8;HF_G_182_C8;HF_G_201_C8;HF_G_184_C8;HF_G_100_C8;HF_G_170_C8;HF_G_X2_C8;HF_G_082_C8;1_C8;2_C8
69;43,1;19,42;2401,225972;908,8360134;1454,366357;9926,725142;15959,96601;41213,3459;26619,08214;5312,073122;29560,37133;34299,61591;9838,491215;19946,78595;5220,453862;18900,68228;5759,511549;619,1066242;27560,71095;64055,81711;3565743,938;1987977,677;205369,7412;2163490,272;4390308,746;3,14E+07;8271631,244;9093005,232;3,59E+07;4301,666463;466,2451176;6037,105555;12119,77856;24609,46209;25300,64823;8345,038868;53651,26232;30924,10091;22557,32349;10782,30321
70;88;22,74;0;0;1111,535351;0;0;3608,901599;0;0;0;0;0;0;0;0;0;0;0;0;7,81E+07;9,91E+07;4,43E+07;1,29E+08;6,27E+07;3,53E+08;3,26E+08;4,48E+08;4,80E+08;0;0;0;0;0;0,00E+00;42542,97566;139269,0828;11956,9455;0;0
71;68,1;24,56;622,1252598;1627,931177;164,8474626;330,9373537;1541,771404;1966,65273;471,8474983;7819,754329;1820,18806;22217,36665;22,96908195;16273,51237;21398,1165;260198,1361;48216,70543;5274,567913;12758,1347;11601,86278;1,09E+07;4,29E+07;5523638,123;3,71E+07;3942338,421;2,01E+08;3,72E+08;2,23E+07;1,56E+08;1328,085849;645,2436275;7505,75393;16475,05351;3748,416047;1092924,482;99738,05947;15658,47815;4708092,207;11799,54458;704,3697932
73;58,1;4,05;308520,5023;478,1925596;129499,9602;295152,5074;736856,1326;7364240,903;172893,8145;458640,8409;664462,8689;381794,8758;1,10E+07;255022,4375;211546,7873;542516,789;272216,2065;3,76E+07;6961232,373;1226140,904;578133,8307;0,00E+00;358002,9854;333270,8364;241206,4576;2,97E+07;1048166,003;5,45E+07;600575,5304;0;0;4,76E+07;9771799,446;2,30E+07;162351,259;6039890,2;1193258,025;1495555,288;0;0
74;49;5,15;464859,8732;721879,3012;904175,7843;584118,777;31691,80128;299139,445;243529,6907;170173,1897;22546,24804;198860,8923;241900,2044;310100,6539;497068,0459;91661,31075;483698,9582;1040459,935;953363,2727;279517,4439;278533,2257;0,00E+00;2331352,245;425401,2045;277576,7702;1704699,015;424667,2217;2222702,239;1542374,223;0;0;665587,2592;344568,6772;3346872,007;257645,0369;296098,1547;4679610,859;2670216,854;579036,8756;579210,918
75;49;6,06;12607,94592;289783,6612;886519,9163;6150,952463;151938,3791;11064,47761;9228,77724;812572,3647;66770,08718;721,0827906;361342,6476;23146,10103;142253,9474;12957,83276;5386,543716;11215,6065;22763,04132;8790,132806;47384,04471;0,00E+00;1232963,758;281884,2716;12796,24432;103841,774;210507,175;2259234,527;699940,015;2782,90445;0;1970171,795;1389682,423;2034142,107;2681821,387;3012525,973;7532913,163;819695,1725;213332,6771;455744,8976
76;49;7,18;562164,3358;511366,7343;932645,8356;194648,1305;483203,1985;763586,4612;1444852,624;321215,3001;240874,7079;614633,3784;808834,316;835530,0108;394430,358;409783,8902;588726,8016;566470,5714;1330890,584;926073,8798;1000605,853;2367946,248;1214574,996;1018643,577;291150,8248;1944855,411;737787,0346;3190425,432;461726,1915;2063,056188;628055,6535;677308,7486;624561,5404;3232021,061;1030793,504;845370,8721;4060459,986;984767,0767;507208,1198;540768,506
77;41;7,36;881339,3223;794630,8286;842791,7909;738289,1962;903016,0254;958377,0686;1053212,933;539600,447;1061004,038;745142,4996;921078,6252;745872,7474;706475,2514;1026514,714;765872,9528;649791,8121;962703,0844;667390,5757;1233955,271;380117,2871;1636531,745;1982822,918;576164,5623;2696557,481;1642930,392;6375517,804;2773377,474;1107045,479;480172,6953;1600145,636;2099121,708;5653078,254;1561218,988;3206659,361;3,78E+07;2,56E+07;904347,718;1136850,875
78;43,1;8,02;921895,9651;1056914,7;949924,6249;765934,1888;1123322,828;884412,7609;1154842,65;608814,7583;1296532,531;788136,8889;1000349,851;892681,2985;807915,7193;1426110,888;952944,9641;878455,3178;1244228,517;572846,5825;1850654,694;872511,0783;2111169,594;2757256,785;392560,4653;4652825,452;2741602,516;1,80E+07;4022251,467;1315582,224;947049,8;2431063,691;3129785,884;7487142,744;1648446,231;4758179,893;8324415,947;6337709,617;687985,58;1575784,132
79;43,1;8,17;233317,8293;343978,548;299754,1712;176140,7345;395626,5744;317891,1666;317077,6946;112439,9923;443624,667;126582,968;320752,1243;136220,5364;188740,9552;462553,9322;222750,6095;302501,1482;461374,1812;132208,3035;602728,712;311354,2161;778913,5067;962421,5124;1,22E+07;1574544,666;1011601,871;8290226,027;1512394,867;147166,7183;316261,6625;904410,5949;1076306,651;2420468,471;528304,9741;1535609,714;3011413,983;2939534,683;286756,8376;531502,371
81;44;9,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,49E+07;0;0;0;0;0;6829802,882;0;4022770,575;6547129,832;8532576,617;0;0
84;43,1;10,82;1256571,498;1728925,655;1715459,668;810784,8155;1890505,925;1613978,193;1259994,248;764564,5436;1818709,314;705260,6168;1495828,191;701566,3758;956170,9675;1844126,343;1001922,253;1519775,128;1973677,906;778333,6741;2625403,083;1921900,427;3390824,171;3834095,252;1119895,215;5858139,882;4493850,412;2,92E+07;7404617,905;1147,482884;2358441,128;4255674,227;9131078,626;1,01E+07;2480798,229;7434134,332;1,58E+07;1,52E+07;1598234,12;2369102,236
85;57,1;10,96;367331,7552;500116,2383;410417,9569;303396,8751;536253,6151;464000,3159;464492,3191;283842,8632;537175,6113;234586,5276;548902,7291;284297,9725;309930,0138;510055,0365;277568,6725;340709,8837;476944,8091;211167,6385;981607,0096;485655,9853;941562,0063;1147540,759;372089,4458;1735141,551;1272816,64;9704118,853;1877531,474;214,321732;647471,3069;1197908,958;1879651,231;3420422,39;1077744,64;2375235,727;6706775,398;3812311,074;495376,5037;635546,3694
86;43,1;11,92;661589,6483;881692,7365;994819,0919;501354,1538;1113912,478;980547,1808;820862,1677;443442,3822;1079786,234;3,03E+07;1,10E+08;977072,7786;1,41E+08;3,06E+08;1134066,136;1511208,183;1789151,645;1155886,201;2898398,666;978216,7861;2428033,002;2163087,831;618440,5039;1,01E+07;2657999,013;2,42E+07;4061183,672;29385,41121;952444,8218;2127599,847;2526078,134;5031861,241;1569925,679;3277813,978;8077060,639;8143889,7;804297,0766;1178392,324
87;43,1;12,09;637681,8039;423162,6205;1239451,665;440431,2253;250306,3071;265512,7411;196396,0042;413146,5861;269070,4366;24028,12937;23394,91;4,90E+07;7,53E+07;2,84E+07;2,44E+07;2,77E+07;5,65E+07;3,81E+07;0,00E+00;3,99E+07;486296,7714;1,71E+07;6,60E+07;0,00E+00;3,09E+07;0,00E+00;1,40E+08;62644,22407;208606,3709;1430538,568;1401410,178;998228,1311;336943,9901;789566,9105;2348192,585;3783521,163;224434,9233;321233,3694
91;57,1;16,19;376553,7008;505708,8121;621301,3269;348600,8237;625763,27;764411,6113;437585,2906;237299,0242;736295,1938;220979,5399;530429,9814;242373,5171;338507,4201;695490,5549;325389,7435;391830,7398;615226,5748;231036,0773;1177590,559;558482,2868;1618281,336;2239076,884;442652,1888;2502656,871;2117332,138;1,65E+07;2979281,669;967,8300982;699300,0113;1461339,462;2177766,791;4848547,923;1880241,089;5091646,69;8464048,089;5840673,664;584857,5055;847997,8062
